Population,Room,Engorgement,Tick_ID,Trial,X_sum,Y_sum,Z_sum,horizontal_dist,vertical_dist_gross,max_vert,total_dist,movement_count,percent_activity,vertical_or_no
Northern California,D,2,24FL.001,1,0,0,2,2,0,0,2,2,18.18181818,0
Northern California,D,2,24FL.001,2,5,0,8,10.30056308,0,0,10.30056308,7,63.63636364,0
Northern California,D,2,24FL.001,3,4,0,5,7.828427125,0,0,7.828427125,6,54.54545455,0
Northern California,D,2,24FL.002,1,12,3,12,20.60993861,3,2,23.60993861,9,81.81818182,1
Northern California,D,2,24FL.002,2,15,0,11,21.03933196,0,0,21.03933196,10,90.90909091,0
Northern California,D,2,24FL.002,3,12,6,14,22.28469516,6,2,28.28469516,8,72.72727273,1
Northern California,D,1,24FL.005,1,18,0,13,25.80634413,0,0,25.80634413,10,90.90909091,0
Northern California,D,1,24FL.005,2,20,0,17,29.19080951,0,0,29.19080951,10,90.90909091,0
Northern California,D,1,24FL.005,3,15,1,9,21.04862718,1,1,22.04862718,10,90.90909091,1
Northern California,D,1,24FL.006,1,11,0,10,17.53663106,0,0,17.53663106,10,90.90909091,0
Northern California,D,1,24FL.006,2,4,0,1,4.414213562,0,0,4.414213562,4,36.36363636,0
Northern California,D,1,24FL.006,3,4,0,5,7.65028154,0,0,7.65028154,6,54.54545455,0
Northern California,D,1,24FL.007,1,14,4,9,19.46284074,4,4,23.46284074,10,90.90909091,1
Northern California,D,1,24FL.007,2,14,4,12,20.64222328,4,2,24.64222328,9,81.81818182,1
Northern California,D,1,24FL.007,3,2,0,0,2,0,0,2,2,18.18181818,0
Northern California,D,1,24FL.008,1,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.008,2,4,0,2,5.236067977,0,0,5.236067977,4,36.36363636,0
Northern California,D,1,24FL.008,3,3,0,1,3.236067977,0,0,3.236067977,2,18.18181818,0
Northern California,D,1,24FL.009,1,7,0,8,12.88634952,0,0,12.88634952,8,72.72727273,0
Northern California,D,1,24FL.009,2,13,1,11,18.23066968,1,1,19.23066968,9,81.81818182,1
Northern California,D,1,24FL.009,3,11,1,17,22.41437349,1,1,23.41437349,8,72.72727273,1
Northern California,D,1,24FL.010,1,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.010,2,1,0,1,1.414213562,0,0,1.414213562,1,9.090909091,0
Northern California,D,1,24FL.010,3,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.011,1,1,0,0,1,0,0,1,1,9.090909091,0
Northern California,D,1,24FL.011,2,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.011,3,2,6,5,6.16227766,6,3,12.16227766,4,36.36363636,1
Northern California,D,1,24FL.012,1,5,0,5,8.828427125,0,0,8.828427125,6,54.54545455,0
Northern California,D,1,24FL.012,2,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.012,3,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.013,1,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.013,2,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.013,3,0,0,0,0,0,0,0,0,0,0
Northern California,D,3,24FL.015,1,0,0,0,0,0,0,0,0,0,0
Northern California,D,3,24FL.015,2,1,0,1,2,0,0,2,2,18.18181818,0
Northern California,D,3,24FL.015,3,1,0,1,1.414213562,0,0,1.414213562,1,9.090909091,0
Northern California,D,1,24FL.016,1,13,4,4,15.47213595,4,2,19.47213595,9,81.81818182,1
Northern California,D,1,24FL.016,2,17,0,14,23.89934391,0,0,23.89934391,9,81.81818182,0
Northern California,D,1,24FL.016,3,4,0,4,6.828427125,0,0,6.828427125,6,54.54545455,0
Northern California,D,1,24FL.017,1,14,1,5,16.84161925,1,1,17.84161925,7,63.63636364,1
Northern California,D,1,24FL.017,2,6,1,7,11.65028154,1,1,12.65028154,8,72.72727273,1
Northern California,D,1,24FL.017,3,0,0,0,0,0,0,0,0,0,0
Northern California,D,1,24FL.019,1,4,0,5,6.886349517,0,0,6.886349517,4,36.36363636,0
Northern California,D,1,24FL.019,2,8,0,11,17.0644951,0,0,17.0644951,10,90.90909091,0
Northern California,D,1,24FL.019,3,7,0,8,12.65685425,0,0,12.65685425,8,72.72727273,0
Northern California,D,1,24FL.021,1,5,0,0,5,0,0,5,3,27.27272727,0
Northern California,D,1,24FL.021,2,3,0,2,5,0,0,5,5,45.45454545,0
Northern California,D,1,24FL.021,3,10,2,5,11.64098632,2,1,13.64098632,8,72.72727273,1
